"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年<br>(1月至5月)/ 苗栗縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 苗栗縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 苗栗縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 苗栗縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 苗栗縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 登記項目總計","13,631","7,026","219","1,653","4,733","-","3,534,825.35","1,670,368.38","55,296.85","755,826.49","1,053,333.63","-"
"107年<br>(1月至5月)/ 彰化縣 / 抵押權","13,631","7,026","219","1,653","4,733","-","3,534,825.35","1,670,368.38","55,296.85","755,826.49","1,053,333.63","-"
"107年<br>(1月至5月)/ 彰化縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 彰化縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 登記項目總計","4,837","2,369","28","485","1,955","-","1,166,523.29","569,875.65","9,108.21","192,245.62","395,293.81","-"
"107年<br>(1月至5月)/ 南投縣 / 抵押權","4,837","2,369","28","485","1,955","-","1,166,523.29","569,875.65","9,108.21","192,245.62","395,293.81","-"
"107年<br>(1月至5月)/ 南投縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 南投縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 雲林縣 / 登記項目總計","5,394","2,624","51","569","2,150","-","1,754,440.91","845,283.35","28,166.64","256,428.14","624,562.78","-"
"107年<br>(1月至5月)/ 雲林縣 / 抵押權","5,394","2,624","51","569","2,150","-","1,754,440.91","845,283.35","28,166.64","256,428.14","624,562.78","-"
"107年<br>(1月至5月)/ 雲林縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 雲林縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
