"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年 2月/ 臺北市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 登記項目總計","7,489","3,902","1","863","2,723","-","1,736,683.40","498,526.12","284.92","301,792.97","936,079.39","-"
"107年 2月/ 桃園市 / 抵押權","7,489","3,902","1","863","2,723","-","1,736,683.40","498,526.12","284.92","301,792.97","936,079.39","-"
"107年 2月/ 桃園市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 桃園市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 登記項目總計","8,513","4,492","647","429","2,945","-","1,593,876.45","788,660.78","102,944.15","140,644.97","561,626.55","-"
"107年 2月/ 臺中市 / 抵押權","8,513","4,492","647","429","2,945","-","1,593,876.45","788,660.78","102,944.15","140,644.97","561,626.55","-"
"107年 2月/ 臺中市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺中市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 登記項目總計","4,030","2,241","8","224","1,557","-","797,707.58","425,035.64","1,424.56","114,912.48","256,334.90","-"
"107年 2月/ 臺南市 / 抵押權","4,030","2,241","8","224","1,557","-","797,707.58","425,035.64","1,424.56","114,912.48","256,334.90","-"
"107年 2月/ 臺南市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺南市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 登記項目總計","6,974","3,342","14","1,069","2,549","-","1,216,056.35","536,406.35","2,475.54","220,749.45","456,425.01","-"
"107年 2月/ 高雄市 / 抵押權","6,974","3,342","14","1,069","2,549","-","1,216,056.35","536,406.35","2,475.54","220,749.45","456,425.01","-"
"107年 2月/ 高雄市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 高雄市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 登記項目總計","1,144","557","-","197","390","-","185,138.34","84,812.38","-","40,667.30","59,658.66","-"
"107年 2月/ 宜蘭縣 / 抵押權","1,144","557","-","197","390","-","185,138.34","84,812.38","-","40,667.30","59,658.66","-"
"107年 2月/ 宜蘭縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 宜蘭縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 登記項目總計","1,890","838","-","270","782","-","528,653.49","115,463.01","-","40,615.11","372,575.37","-"
"107年 2月/ 新竹縣 / 抵押權","1,890","838","-","270","782","-","528,653.49","115,463.01","-","40,615.11","372,575.37","-"
"107年 2月/ 新竹縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 登記項目總計","1,118","580","-","167","371","-","333,844.31","106,614.97","-","40,866.45","186,362.89","-"
"107年 2月/ 苗栗縣 / 抵押權","1,118","580","-","167","371","-","333,844.31","106,614.97","-","40,866.45","186,362.89","-"
"107年 2月/ 苗栗縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 苗栗縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 登記項目總計","2,144","1,063","148","250","683","-","524,254.49","252,596.29","21,722.37","107,773.47","142,162.36","-"
"107年 2月/ 彰化縣 / 抵押權","2,144","1,063","148","250","683","-","524,254.49","252,596.29","21,722.37","107,773.47","142,162.36","-"
"107年 2月/ 彰化縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 彰化縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 登記項目總計","693","316","1","81","295","-","127,903.71","54,951.03","120.20","14,680.68","58,151.80","-"
"107年 2月/ 南投縣 / 抵押權","693","316","1","81","295","-","127,903.71","54,951.03","120.20","14,680.68","58,151.80","-"
"107年 2月/ 南投縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 南投縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 登記項目總計","702","368","-","43","291","-","214,891.37","114,870.41","-","39,094.22","60,926.74","-"
"107年 2月/ 雲林縣 / 抵押權","702","368","-","43","291","-","214,891.37","114,870.41","-","39,094.22","60,926.74","-"
"107年 2月/ 雲林縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 雲林縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 登記項目總計","572","301","-","45","226","-","129,972.97","73,640.85","-","11,846.38","44,485.74","-"
"107年 2月/ 嘉義縣 / 抵押權","572","301","-","45","226","-","129,972.97","73,640.85","-","11,846.38","44,485.74","-"
"107年 2月/ 嘉義縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 登記項目總計","1,314","698","-","164","452","-","241,132.43","128,235.19","-","33,447.80","79,449.44","-"
"107年 2月/ 屏東縣 / 抵押權","1,314","698","-","164","452","-","241,132.43","128,235.19","-","33,447.80","79,449.44","-"
"107年 2月/ 屏東縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 屏東縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 登記項目總計","296","144","7","26","119","-","47,869.87","23,052.58","192.84","4,953.25","19,671.20","-"
"107年 2月/ 臺東縣 / 抵押權","296","144","7","26","119","-","47,869.87","23,052.58","192.84","4,953.25","19,671.20","-"
"107年 2月/ 臺東縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺東縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 登記項目總計","581","281","-","44","256","-","100,758.90","46,794.22","-","14,699.55","39,265.13","-"
"107年 2月/ 花蓮縣 / 抵押權","581","281","-","44","256","-","100,758.90","46,794.22","-","14,699.55","39,265.13","-"
"107年 2月/ 花蓮縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 花蓮縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 登記項目總計","103","61","-","7","35","-","22,072.36","12,285.17","-","1,947.04","7,840.15","-"
"107年 2月/ 澎湖縣 / 抵押權","103","61","-","7","35","-","22,072.36","12,285.17","-","1,947.04","7,840.15","-"
"107年 2月/ 澎湖縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 澎湖縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 登記項目總計","1,602","1,127","-","38","437","-","130,711.48","98,712.98","-","2,242.75","29,755.75","-"
"107年 2月/ 基隆市 / 抵押權","1,602","1,127","-","38","437","-","130,711.48","98,712.98","-","2,242.75","29,755.75","-"
"107年 2月/ 基隆市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 基隆市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 登記項目總計","1,144","661","1","34","448","-","126,306.52","74,180.72","19.08","8,787.76","43,318.96","-"
"107年 2月/ 新竹市 / 抵押權","1,144","661","1","34","448","-","126,306.52","74,180.72","19.08","8,787.76","43,318.96","-"
"107年 2月/ 新竹市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新竹市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 登記項目總計","565","305","-","30","230","-","84,550.45","50,575.01","-","3,680.29","30,295.15","-"
"107年 2月/ 嘉義市 / 抵押權","565","305","-","30","230","-","84,550.45","50,575.01","-","3,680.29","30,295.15","-"
"107年 2月/ 嘉義市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 嘉義市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 登記項目總計","98","64","-","-","34","-","15,420.34","9,109.14","-","-","6,311.20","-"
"107年 2月/ 金門縣 / 抵押權","98","64","-","-","34","-","15,420.34","9,109.14","-","-","6,311.20","-"
"107年 2月/ 金門縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 金門縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 登記項目總計","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 抵押權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 連江縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 登記項目總計","98,495","50,941","403","9,900","37,251","-","15,565,675.81","7,052,849.66","101,356.73","2,454,240.39","5,957,229.03","-"
"107年 3月/ 區域別總計 / 抵押權","98,495","50,941","403","9,900","37,251","-","15,565,675.81","7,052,849.66","101,356.73","2,454,240.39","5,957,229.03","-"
"107年 3月/ 區域別總計 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 區域別總計 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 登記項目總計","22,025","11,279","283","2,548","7,915","-","2,462,318.48","1,048,195.90","40,059.86","324,143.90","1,049,918.82","-"
"107年 3月/ 新北市 / 抵押權","22,025","11,279","283","2,548","7,915","-","2,462,318.48","1,048,195.90","40,059.86","324,143.90","1,049,918.82","-"
"107年 3月/ 新北市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 新北市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 登記項目總計","13,736","7,292","15","843","5,586","-","1,305,634.01","643,823.47","2,237.27","157,141.23","502,432.04","-"
"107年 3月/ 臺北市 / 抵押權","13,736","7,292","15","843","5,586","-","1,305,634.01","643,823.47","2,237.27","157,141.23","502,432.04","-"
"107年 3月/ 臺北市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺北市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 登記項目總計","10,674","5,453","17","1,041","4,163","-","1,779,961.27","836,569.27","34,067.97","316,189.12","593,134.91","-"
"107年 3月/ 桃園市 / 抵押權","10,674","5,453","17","1,041","4,163","-","1,779,961.27","836,569.27","34,067.97","316,189.12","593,134.91","-"
"107年 3月/ 桃園市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 桃園市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 登記項目總計","11,865","6,473","22","689","4,681","-","2,055,997.80","963,269.75","9,104.49","364,294.13","719,329.43","-"
"107年 3月/ 臺中市 / 抵押權","11,865","6,473","22","689","4,681","-","2,055,997.80","963,269.75","9,104.49","364,294.13","719,329.43","-"
"107年 3月/ 臺中市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺中市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 登記項目總計","6,345","3,317","7","395","2,626","-","1,301,492.34","621,573.40","1,422.39","264,453.01","414,043.54","-"
"107年 3月/ 臺南市 / 抵押權","6,345","3,317","7","395","2,626","-","1,301,492.34","621,573.40","1,422.39","264,453.01","414,043.54","-"
"107年 3月/ 臺南市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 臺南市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 高雄市 / 登記項目總計","11,916","5,668","7","1,995","4,246","-","1,982,140.96","829,273.75","985.73","353,339.40","798,542.08","-"
"107年 3月/ 高雄市 / 抵押權","11,916","5,668","7","1,995","4,246","-","1,982,140.96","829,273.75","985.73","353,339.40","798,542.08","-"
"107年 3月/ 高雄市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 高雄市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 高雄市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 高雄市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 高雄市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 3月/ 高雄市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
